"gebruiksfunctie";"perioden";"regio";"beginstandVoorraad";"nieuwbouw";"overigeToevoeging";"sloop";"overigeOnttrekking";"correctie";"saldoVoorraad";"eindstandVoorraad"
"Woning";"2012";"Nederland";7386743;48668;42193;13653;26278;11604;62534;7449298
"Woning";"2013";"Nederland";7449298;49311;63837;12903;18427;4196;86014;7535315
"Woning";"2014";"Nederland";7535315;45170;34242;10989;16151;371;52643;7587964
"Woning";"2015";"Nederland";7587964;48381;30015;11519;14005;464;53336;7641323
"Woning";"2016";"Nederland";7641323;54849;30819;10138;31169;490;44851;7686178
"Woning";"2017";"Nederland";7686178;62982;27632;12862;23154;209;54807;7740984
"Woning";"2018*";"Nederland";7740984;65953;26304;8739;11005;1003;73516;7814497
"Woning";"2012";"Groningen (PV)";265332;803;1926;399;1250;1054;2134;267466
"Woning";"2013";"Groningen (PV)";267466;1454;3150;562;698;277;3621;271087
"Woning";"2014";"Groningen (PV)";271087;1088;1997;263;1189;54;1687;272774
"Woning";"2015";"Groningen (PV)";272774;1459;1296;308;502;-13;1932;274719
"Woning";"2016";"Groningen (PV)";274719;1717;1243;526;439;12;2007;276728
"Woning";"2017";"Groningen (PV)";276728;1714;1776;274;2832;1;385;277113
"Woning";"2018*";"Groningen (PV)";277113;2138;1501;541;593;12;2517;279630
"Woning";"2012";"Friesland (PV)";287341;1269;2045;567;1303;596;2040;289381
"Woning";"2013";"Friesland (PV)";289381;1360;3146;348;1450;92;2800;292181
"Woning";"2014";"Friesland (PV)";292181;1595;1923;712;779;-39;1988;294169
"Woning";"2015";"Friesland (PV)";294169;1329;895;400;460;7;1371;295540
"Woning";"2016";"Friesland (PV)";295540;1413;859;363;987;1;923;296463
"Woning";"2017";"Friesland (PV)";296463;1708;1049;335;485;25;1962;298425
"Woning";"2018*";"Friesland (PV)";298425;1916;881;387;702;97;1805;300230
"Woning";"2012";"Drenthe (PV)";219432;737;1006;258;6055;28;-4542;214890
"Woning";"2013";"Drenthe (PV)";214890;1300;2858;582;622;181;3135;218025
"Woning";"2014";"Drenthe (PV)";218025;639;611;251;586;-55;358;218383
"Woning";"2015";"Drenthe (PV)";218383;742;452;497;454;-1;242;218625
"Woning";"2016";"Drenthe (PV)";218625;1021;697;495;667;59;615;219240
"Woning";"2017";"Drenthe (PV)";219240;1397;659;326;196;44;1578;220818
"Woning";"2018*";"Drenthe (PV)";220818;1343;630;434;158;-2;1379;222197
"Woning";"2012";"Overijssel (PV)";482575;2537;1567;874;976;562;2816;485392
"Woning";"2013";"Overijssel (PV)";485392;2786;2706;1443;2113;248;2184;487577
"Woning";"2014";"Overijssel (PV)";487577;3367;1748;1155;1342;30;2648;490227
"Woning";"2015";"Overijssel (PV)";490227;3662;1497;873;896;139;3529;493757
"Woning";"2016";"Overijssel (PV)";493757;3652;2351;1049;1358;8;3604;497361
"Woning";"2017";"Overijssel (PV)";497361;3817;1847;408;2620;-46;2590;499951
"Woning";"2018*";"Overijssel (PV)";499951;4160;2274;510;540;-1;5383;505330
"Woning";"2012";"Flevoland (PV)";158061;1148;289;142;19;159;1435;159496
"Woning";"2013";"Flevoland (PV)";159496;1134;810;138;48;258;2016;161512
"Woning";"2014";"Flevoland (PV)";161512;1005;381;45;120;-2;1219;162731
